"statelevel.rownum","sstate.initnum","sstate","sstatename","ideology","professional.index","professional.cat","salary","totalday","staffper","citizen.init","year.adoption","consitutional.init","signature","usage","legislative.insulation","p.evang","p.mormon","p.cath","p.metroarea","adjinc.cap","pblack","phisp","p65over","phighsch","pbachelors","demcontrol","pdemocrat","polarization","divided","kerry.04","gore.00","clinton.92","mondale.84","dukakis.88","humphrey.68","mcgovern.72","population","court.type","court.elected","berry.citizen","berry.government","Bryan.1896","tempculture","state.culture"
"11",11,"GA","Georgia",-17.7000007629395,0.11599999666214,1,18034.80078125,80.4499969482422,2.1800000667572,0,NA,0,NA,NA,NA,27.6299991607666,0.533425807952881,4.55000019073486,69.1999969482422,28211.849609375,28.7000007629395,5.30000019073486,9.60000038146973,82.5999984741211,23.1000003814697,77,58.4799995422363,27.1000003814697,11.1111097335815,41.4000015258789,43,50.3416290283203,39.7900009155273,39.7999992370605,46.8042182922363,24.7244071960449,8229823,"NPE",1,39.1728401184082,59.2100296020508,57.7799987792969,"Tradistionalistic","T"
"12",12,"HI","Hawaii",NA,0.224999994039536,2,32315.4609375,121.360000610352,3.26999998092651,0,NA,0,NA,NA,NA,8.13000011444092,3.53053498268127,19.8600006103516,72.3000030517578,28300.5390625,2,7.19999980926514,13.3999996185303,87.4700012207031,26.3700008392334,77,83.2200012207031,NA,33.3333320617676,54,55.7999992370605,56.7165908813477,43.8199996948242,54.7999992370605,60.7194900512695,37.5169219970703,1212281,"AP",0,76.3197708129883,85.4308166503906,NA,"Individual/Traditional","IT"
"13",13,"IA","Iowa",-13.5,0.170000001788139,2,27947.119140625,189.5,1.19000005722046,0,NA,0,NA,NA,NA,11.6899995803833,0.51921272277832,19.0599994659424,45.2999992370605,26572.2109375,2.09999990463257,2.79999995231628,14.8999996185303,89.6999969482422,25.5,0,45.5400009155273,32.9000015258789,11.1111097335815,49.2000007629395,48.5,53.7363510131836,45.8899993896484,55.0999984741211,43.5021743774414,41.2675170898438,2927509,"RE",1,46.4221687316895,45.8868103027344,42.8899993896484,"Moral/Individual","MI"
"14",14,"ID","Idaho",-27.8999996185303,0.137999996542931,1,16667.810546875,145.770004272461,0.490000009536743,1,1912,0,6,25,4,8.92000007629395,23.967529296875,10.0699996948242,39.2999992370605,24101.0703125,0.400000005960464,7.90000009536743,11.3000001907349,86.1999969482422,20,0,18.7900009155273,40.2999992370605,66.6666717529297,30.2999992370605,27.6000003814697,40.3406715393066,26.3899993896484,36.7000007629395,35.0582389831543,28.8447952270508,1299258,"NPE",1,24.8432102203369,16.0654392242432,78.0699996948242,"Moral/Individual","MI"
"15",15,"IL","Illinois",-10.1000003814697,0.261000007390976,3,57078.7109375,143.919998168945,5.55000019073486,0,NA,0,NA,NA,NA,10.2700004577637,0.288678705692291,31.1599998474121,84.9000015258789,32247.58984375,15.1000003814697,12.3000001907349,12.1000003814697,85.5,27.1000003814697,23,49.7299995422363,32.2000007629395,88.8888931274414,54.7999992370605,54.5999984741211,58.5865898132324,43.2999992370605,49,48.3988952636719,40.6978721618652,12435970,"PE",1,55.166389465332,43.4146995544434,42.6800003051758,"Individualistic","I"
"16",16,"IN","Indiana",-16.7000007629395,0.101999998092651,1,18052.08984375,91.6399993896484,1.19000005722046,0,NA,0,NA,NA,NA,15.9700002670288,0.464700013399124,13.7299995422363,72.1999969482422,27227.630859375,8.39999961853027,3.5,12.3999996185303,84.5999984741211,17.1000003814697,0,44.4799995422363,38.4000015258789,77.7777786254883,39.2999992370605,41,46.1605987548828,37.6800003051758,39.9000015258789,43.0322799682617,33.522289276123,6089950,"RE",1,43.9589385986328,52.097240447998,47.9500007629395,"Individualistic","I"
"17",17,"KS","Kansas",-15.8999996185303,0.125,1,15655.4404296875,149.630004882812,0.699999988079071,0,NA,0,NA,NA,NA,15.6000003814697,0.757871329784393,15.0799999237061,56.5999984741211,27537.400390625,5.69999980926514,7,13.3000001907349,88.0999984741211,27.2999992370605,0,33.9199981689453,34.4000015258789,33.3333320617676,36.5999984741211,37.2000007629395,46.4610290527344,32.5999984741211,43.5,38.7626495361328,30.3659477233887,2691750,"RE",1,34.3493690490723,26.7436103820801,51.4799995422363,"Moral/Individual","MI"
"18",18,"KY","Kentucky",-13.1999998092651,0.148000001907349,2,14430.830078125,93.5500030517578,2.24000000953674,0,NA,0,NA,NA,NA,33.6300010681152,0.444727301597595,10.0299997329712,48.7999992370605,24243.720703125,7.30000019073486,1.5,12.5,78.6999969482422,20.5,46,59.2999992370605,23.2999992370605,77.7777786254883,39.7000007629395,41.4000015258789,51.8686714172363,39.3699989318848,44.2000007629395,46.2282791137695,35.4292907714844,4047424,"NPE",1,33.3654098510742,52.5096092224121,48.8600006103516,"Individual/Traditional","IT"
"19",19,"LA","Louisiana",-23,0.12899999320507,2,25239.08984375,107,2.85999989509583,0,NA,0,NA,NA,NA,21.5300006866455,0.357944309711456,30.9300003051758,75.4000015258789,23227.109375,32.5,2.40000009536743,11.6000003814697,80.8000030517578,22.5,54,71.9499969482422,18.6000003814697,55.5555572509766,42.2000007629395,44.9000015258789,52.663200378418,38.1800003051758,44.7999992370605,54.5913772583008,30.2684059143066,4469970,"PE",1,33.9346389770508,50.3373794555664,76.370002746582,"Tradistionalistic","T"
"20",20,"MA","Massachusetts",-0.800000011920929,0.384999990463257,3,49754,443.589996337891,3.90000009536743,1,1918,1,3,60,8,2.36999988555908,0.257980406284332,48.6399993896484,96.0999984741211,37960.48828125,5.40000009536743,6.80000019073486,13.5,85.0999984741211,32.7000007629395,0,82.2900009155273,38.2000007629395,100,61.9000015258789,59.7999992370605,62.0869789123535,48.4300003051758,54,65.7056045532227,54.5091285705566,6357072,"AP",0,79.5524063110352,70.8155517578125,26.2800006866455,"Moral/Individual","MI"
"21",21,"MD","Maryland",-5.69999980926514,0.194000005722046,2,41903.4296875,154.009994506836,2.67000007629395,0,NA,0,NA,NA,NA,7.71000003814697,0.487675487995148,17.9300003051758,92.6999969482422,33958.9609375,27.8999996185303,4.30000019073486,11.3000001907349,85.6999969482422,32.2999992370605,77,71.9899978637695,31.3999996185303,33.3333320617676,55.9000015258789,56.5,58.3001594543457,47.0200004577637,48.5,50.9616088867188,37.8837776184082,5310908,"RE",1,64.9600677490234,82.6799697875977,41.6100006103516,"Individualistic","I"
"22",22,"ME","Maine",-14.6999998092651,0.0890000015497208,1,14161.8203125,119.089996337891,0.699999988079071,1,1908,0,10,38,8,3.3199999332428,0.556007623672485,22.1599998474121,36.5999984741211,25680.890625,0.5,0.699999988079071,14.3999996185303,89.3000030517578,24.1000003814697,23,53.9900016784668,23,0,53.5999984741211,49.0999984741211,56.0584106445312,38.7799987792969,44.2000007629395,56.2160148620605,38.5054740905762,1276961,"AP",0,65.9044570922852,72.2139129638672,29.2000007629395,"Moralistic","M"
"23",23,"MI","Michigan",-8.80000019073486,0.342000007629395,3,69815.453125,447.119995117188,9.14999961853027,1,1908,1,8,60,3,10.7700004577637,0.301446795463562,20.2999992370605,82.1999969482422,29516.060546875,14.1999998092651,3.29999995231628,12.3000001907349,86.1999969482422,23,0,44.8699989318848,42.0999984741211,55.5555572509766,51.2000007629395,51.2999992370605,54.6101112365723,40.2400016784668,46,53.7522926330566,42.6591186523438,9952006,"NPE",1,55.4622611999512,36.7816009521484,44.7299995422363,"Moralistic","M"
"24",24,"MN","Minnesota",-12.8000001907349,0.168999999761581,2,35953.671875,136.240005493164,3.1800000667572,0,NA,0,NA,NA,NA,11.1099996566772,0.407617509365082,25.5699996948242,70.4000015258789,32207.2890625,3.5,2.90000009536743,12.1000003814697,90.8000030517578,31.2000007629395,0,56.2099990844727,46.0999984741211,44.4444389343262,51.0999984741211,47.9000015258789,57.7193717956543,49.7200012207031,53.5999984741211,56.5648078918457,47.1797561645508,4931093,"NPE",1,54.485969543457,47.9204711914062,40.8800010681152,"Moralistic","M"
"25",25,"MO","Missouri",-15.5,0.17399999499321,2,34414.98828125,201.149993896484,2.34999990463257,1,1908,1,3,68,6,24.7099990844727,0.731678605079651,15.289999961853,67.8000030517578,27452.16015625,11.1999998092651,2.09999990463257,13.5,86.5999984741211,26.2000007629395,62,47.3899993896484,21.6000003814697,55.5555572509766,46.0999984741211,47.0999984741211,56.5072402954102,39.9799995422363,48,49.3610992431641,37.7056655883789,5603553,"RE",1,47.0658187866211,53.8932495117188,53.9500007629395,"Individual/Traditional","IT"
"26",26,"MS","Mississippi",-25.3999996185303,0.10700000077486,1,21939.630859375,201.789993286133,0.790000021457672,1,1992,1,12,3,7,39.6699981689453,0.456284403800964,4.05999994277954,36,21017.390625,36.2999992370605,1.39999997615814,12.1000003814697,80.3000030517578,18.7000007629395,31,67.7699966430664,35.2999992370605,33.3333320617676,39.7999992370605,40.7000007629395,45.0746307373047,37.4599990844727,39.5,62.9887924194336,20.0633964538574,2849100,"NPE",1,31.8878192901611,42.6989593505859,91.0299987792969,"Tradistionalistic","T"
"27",27,"MT","Montana",-11.1000003814697,0.0759999975562096,1,31477.630859375,92.8199996948242,0.349999994039536,1,1906,1,5,65,6,11.1499996185303,3.6206328868866,18.7399997711182,33.9000015258789,22894.8203125,0.300000011920929,2,13.3999996185303,89.5999984741211,23.7999992370605,0,42.4199981689453,44.2999992370605,33.3333320617676,38.5999984741211,33.4000015258789,51.7250900268555,38.1800003051758,47,45.1140937805176,39.515998840332,903157,"NPE",1,44.0510597229004,23.6547298431396,79.9300003051758,"Moral/Individual","MI"
"28",28,"NC","North Carolina",-20.7000007629395,0.197999998927116,2,27924.1796875,200.270004272461,0.970000028610229,0,NA,0,NA,NA,NA,25.4899997711182,0.507591128349304,3.91000008583069,67.5,27055.4609375,21.6000003814697,4.69999980926514,12,79.1999969482422,23.2000007629395,54,58.2900009155273,22.6000003814697,44.4444389343262,43.5999984741211,43.2000007629395,49.5411796569824,37.8899993896484,41.9000015258789,42.5282554626465,29.3724384307861,8077367,"NPE",1,44.5477905273438,68.6035537719727,52.6300010681152,"Moral/Traditional","MT"
"29",29,"ND","North Dakota",-26.6000003814697,0.0509999990463257,1,6636.52001953125,67.6800003051758,0.200000002980232,1,1914,1,2,166,3,9.75,0.577296018600464,27.9799995422363,44.2000007629395,25006.94921875,0.600000023841858,1.20000004768372,14.6999998092651,85.5,22.6000003814697,0,34.0699996948242,33.2999992370605,88.8888931274414,35.5,33.0999984741211,42.120418548584,33.7999992370605,43.4000015258789,40.5970764160156,36.5706939697266,640919,"NPE",1,59.2008895874023,27.7301998138428,43.6399993896484,"Moralistic","M"
"30",30,"NE","Nebraska",-18.7000007629395,0.162000000476837,2,15114.5498046875,159.639999389648,4.09999990463257,1,1912,1,7,40,6,14.6099996566772,0.875873029232025,21.7700004577637,52.5999984741211,27755.689453125,4.09999990463257,5.5,13.5,90.1500015258789,25.8500003814697,NA,NA,NA,0,32.7000007629395,33.2999992370605,38.6943893432617,28.8099994659424,39.5,34.715934753418,29.4975242614746,1712577,"RE",1,33.0744285583496,35.0796508789062,51.8800010681152,"Moral/Individual","MI"
"31",31,"NH","New Hampshire",-12.8000001907349,0.0270000007003546,1,190.910003662109,46,0.300000011920929,0,NA,0,NA,NA,NA,2.4300000667572,0.516178488731384,34.7799987792969,59.9000015258789,33575.8984375,0.699999988079071,1.70000004768372,12,88.0999984741211,30.1000003814697,0,36.439998626709,46.0999984741211,100,50.2000007629395,46.7999992370605,50.7963409423828,30.9500007629395,36.7999992370605,45.7417373657227,35.2663421630859,1239881,"AP",0,38.7457389831543,29.5104293823242,25.8700008392334,"Moral/Individual","MI"
